日期,销量,利润
2015/3/1,51,420
2015/2/28,2618.2,900
2015/2/27,2608.4,1290
2015/2/26,2651.9,420
2015/2/25,3442.1,1710
2015/2/24,3393.1,1290
2015/2/23,3136.6,2610
2015/2/22,3744.1,840
2015/2/21,6607.4,450
2015/2/20,4060.3,420
2015/2/19,3614.7,420
2015/2/18,3295.5,870
2015/2/16,2332.1,1800
2015/2/15,2699.3,1740
2015/2/14,2780,1350
2015/2/13,3036.8,450
2015/2/12,865,420
2015/2/11,3014.3,1320
2015/2/10,2742.8,420
2015/2/9,2173.5,420
2015/2/8,3161.8,450
2015/2/7,3023.8,900
2015/2/6,2998.1,1740
2015/2/5,2805.9,900
2015/2/4,2383.4,870
2015/2/3,2620.2,1770
2015/2/2,2600,870
2015/2/1,2358.6,870
2015/1/31,2682.2,870
2015/1/30,2766.8,450
2015/1/29,2618.8,1770
2015/1/28,2714.3,135
2015/1/27,2280.8,177
2015/1/26,2414,45
2015/1/25,3130.6,180
2015/1/24,2716.9,177
2015/1/23,2930.8,87
2015/1/22,2504.9,135
2015/1/21,2559.5,219
2015/1/20,2168.6,132
2015/1/19,2436.4,129
2015/1/18,3234.3,87
2015/1/17,3061,87
2015/1/16,2900.1,135
2015/1/15,2646.8,405
2015/1/14,2615.2,90
2015/1/13,2124.4,900
2015/1/12,1958,1290
2015/1/8,2259.1,2220
2015/1/7,2419.8,870
2015/1/6,2775,1800
2015/1/5,2594.9,1740
2015/1/4,2468.3,870
2015/1/3,3004.3,3090
2015/1/2,3313.3,870
2015/1/1,3613.6,900
2014/12/31,2655.9,2220
2014/12/30,2644.3,1350
2014/12/29,2565.3,900
2014/12/27,2525.9,2220
2014/12/26,2778,1800
2014/12/25,2542.1,3960
2014/12/24,2473.3,1770
2014/12/23,2240.1,3570
2014/12/22,2575,2220
2014/12/21,3802.8,2700
2014/12/18,2274.7,1800
2014/12/17,2687.2,840
2014/12/16,2577.8,2250
2014/12/15,2583,420
2014/12/14,3282.6,2250
2014/12/13,3113.7,1320
2014/12/12,2661.4,3150
